left_no,cyl_sys_id,legacy_name,legacy_type,new_product_code,cost_type,in_orion_scope,final_metric,final_status,cause_layer,cause_note,legacy_final,new_final,rm_rate_L,rm_rate_N,rm_landed_L,rm_landed_N,waste_L,waste_N,rm_norm_L,rm_norm_N,fixed_total_L,fixed_total_N,cap_pack_L,cap_pack_N,oil_L,oil_N,mb_cost_L,mb_cost_N,legacy_modified
5275,2023082458047,PTY 75/36/RND/DBR/NI/DH/N/1/Z,PTY,CSTPTY2606005089,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.8804,0.9489137268357424,1.883,0,1.883,0,.007,0.007,1.007,1.007,.894,0.8878086419753086,.0281,0.015061238000662034,.0331,0.037114,,,2026-09-06
5276,2023082458048,PTY 75/36/RND/DBR/NI/DH/N/1/Z,PTY,CSTPTY2606005088,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.8921,0.9489137268357424,1.8942,0,1.8942,0,.007,0.007,1.007,1.007,.894,0.8878086419753086,.0281,0.015061238000662034,.0331,0.037114,,,2026-09-06
5277,2023082459799,PTY 190/288/RND/DBR/LIM/DH/N/1/S,PTY,CSTPTY2606003636,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.1767,0.4547153950582053,1.715,0,1.715,0,.01,0.01,1.01,1.01,.3726,0.368895557607469,.0165,0.0069306930693069325,.0452,0.05061,,,2026-09-06
5278,2023082459800,PTY 150/36/RND/SD/SIM/DH/DP/2/SZ,PTY,CSTPTY2606002878,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8274,0.3581923144049199,1.4879,0,1.4879,0,.006,0.006,1.006,1.006,.2806,0.27889276711266237,.0218,0.0168986083499006,0,0.028679,,,2026-09-06
5279,2023082459801,PTY 1330/2016/RND/DBR/LIM/DH/N/1/S,PLY,CSTPTY2606002655,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.2959,0.06785683745358304,2.1767,0,2.1767,0,.004,0.004,1.004,1.004,.0278,0.027731365450663695,.0182,0.01568725099601594,0,0,,,2026-09-06
528,20210900666,PTY 150/48/RND/BSD/IM/DH/N/2/SZ/RW,PTY,CSTPTY2606001419,SELLING,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9599,0.4522057246797508,1.5342,0,1.5342,0,.006,0.006,1.006,1.006,.2925,0.3217993466684566,.0152,0.01182902584493042,.027,0.030366,,,2026-09-06
5280,2023082459802,TCY 2660/4032-120/RND/DBR/LIM/DH/N/1/Z,TTY,CSTTCY2606000082,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.4069,0.07071040883458646,2.2959,0,2.2959,0,.008,0.008,1.008,1.008,.0551,0.054628759398496235,.0181,0.015625,0,0,,,2026-09-06
5281,2023082459951,TCM 2660/4032-120/RND/DBR/LIM/MDH/T5/1/Z/CITRA-3,MEEREBAH,CSTTCM2606000042,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.7107,0.19595282663264763,2.4069,0,2.4069,0,.008,0.008,1.008,1.008,.1711,0.16968735880044475,.029,0.02500000000000001,0,0,,,2026-09-06
5282,2023082459952,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000521,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.945,0.34458431164328085,1.6057,0,1.6057,0,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-06
5283,2023082460108,PTY 150/144/RND/DBR/SIM/ACDH/PP/2/SS,PTY,CSTPTY2606006162,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0816,0.5247410750696736,1.554,0,1.554,0,.01,0.01,1.01,1.01,.3919,0.4035493827160494,.0495,0.03564356435643565,.0452,0.05061,,,2026-09-06
5284,2023082460109,PTY 150/36/RND/SD/LIM/DH/DP/1/Z,PTY,CSTPTY2606001227,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8571,0.3618472847900008,1.4879,0,1.4879,0,.006,0.006,1.006,1.006,.2904,0.2885097590820645,.0214,0.0168986083499006,.0255,0.028679,,,2026-09-06
5285,2023082460110,PTY 3600/3456/RND/DBR/NIM/ACDH/N/1/S,PLY,CSTPTY2606005435,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.1676,0.04990933561703985,2.0816,0,2.0816,0,.004,0.004,1.004,1.004,.0324,0.0322608024691358,.0175,0.01732621751798775,0,0,,,2026-09-06
5286,2023082460111,PTY 150/48/RND/DSD/HIM/RWDH/N/1/Z,PTY,CSTPTY2606002222,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.0124,0.41295150019257054,1.6058,0,1.6058,0,.01,0.01,1.01,1.01,.29,0.29468109082713545,.0133,0.008663366336633664,.0332,0.037114,,,2026-09-06
5287,2023082460112,TTY 3600/3456-60/RND/DBR/NI/ACDH/SN/1/S,TTY,CSTTTY2606000893,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),2.3916,0.1768879672863268,2.1676,0,2.1676,0,.002,0.002,1.002,1.002,.1446,0.14430849500293944,.037,0.031437125748503,0,0,,,2026-09-06
5288,2023082460113,PTY 300/144/TBL/BR/LIM/DH/N/1/Z,PTY,CSTPTY2606003345,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.6434,0.2794112852047286,1.3944,0,1.3944,0,.007,0.007,1.007,1.007,.1926,0.1911549707602339,.0137,0.010742980951521172,.0451,0.05061,,,2026-09-06
5289,2023082562883,PTY 150/48/RND/DSD/NI/DH/N/1/Z,PTY,CSTPTY2606000522,SELLING,N,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.8587,0.34458431164328085,1.5224,0,1.5224,0,.01,0.01,1.01,1.01,.2918,0.29468109082713545,.0139,0.009040034438226431,.0332,0.037114,,,2026-09-06
529,20210900667,PTY 150/48/RND/BSD/LIM/DH/N/2/SZ,PTY,CSTPTY2606001240,SELLING,Y,CAP_WITH_QLOSS,differ,RM_COST,RM landed cost berbeda (TOP56 vs RM_LANDED_COST),1.9346,0.3965369088630724,1.5342,0,1.5342,0,.006,0.006,1.006,1.006,.2947,0.29881367904928113,.0128,0.009625579854208085,.027,0.030366,,,2026-09-06
