fg_product_code,fg_type,fg_name,fg_product_sys_id,input_product_code,input_type,input_product_sys_id,ratio,unit_cost_dipakai_engine,unit_cost_seharusnya,status_cost_hulu,understatement_baris
CSTPTY2606002079,PTY,PTY 300/96/TBL/BR/NI/SH/N/1/S,9966,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606003398,PTY,PTY 300/72/RND/BR/SIM/DH/N/4/2Z2S,31742,CSTPOY2606002763,POY,2850,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606004182,PTY,PTY 300/72/TBL/BR/NI/DH/N/1/Z,32526,CSTPOY2606002093,POY,2180,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606004185,PTY,PTY 300/72/RND/BR/NI/DH/N/1/Z,32529,CSTPOY2606002763,POY,2850,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606001777,PTY,PTY 300/96/TBL/BR/LIM/DH/N/1/Z,9664,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTATY2606000095,ATY,ATY 1600/480/TBL/BBR-BR/NIM/DH/N/1/Z,23239,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606005675,PTY,PTY 300/72/TBL/BR/LIM/DH/N/3/Z,33732,CSTPOY2606002093,POY,2180,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606004133,PTY,PTY 300/96/TBL/BR/NI/DH/N/4/2Z2S,32477,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTATY2606000248,ATY,ATY 950/288/TBL/BR/NIM/DH/N/1/Z,23445,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606003515,PTY,PTY 300/96/TBL/BR/NI/DH/SN/1/S,31859,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606002148,PTY,PTY 300/96/TBL/BR/LIM/DH/N/4/2Z2S,10035,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606002147,PTY,PTY 300/96/TBL/BR/NI/SH/N/4/SSSS,10034,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTATY2606000250,ATY,ATY 1225/384/RND/BSD-BR/NIM/DH/N/1/Z,23447,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606001989,PTY,PTY 300/96/TBL/BR/HIM/LTDH/N/1/Z,9876,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606001776,PTY,PTY 300/96/TBL/BR/NI/DH/N/1/Z,9663,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTATY2606000251,ATY,ATY 1000/288/RND/BSD-BR/NIM/DH/N/1/Z,23448,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606002485,PTY,PTY 300/96/RND/BR/LIM/LSDH/N/4/SSSS,10372,CSTPOY2606002764,POY,2851,1,1,1.321610,CALCULATED,0.321610
CSTPTY2606006067,PTY,PTY 300/96/TBL/BR/NI/SH/N/3/S,34132,CSTPOY2606001881,POY,1968,1,1,1.321610,CALCULATED,0.321610
