mbs_oracle_sys_id,spin_name,mbs_ldr_calculated_pct,mbs_run_ldr_pct,adjustment_yang_diusulkan
202204803,FILTER GN,2.0000,1.6000,-0.4000
202204804,TUNDRA BL,1.5000,1.7800,0.2800
202204806,LANTERN BL,3.5000,3.7500,0.2500
202204807,DARK VERMELHO BR,1.8000,1.7500,-0.0500
202205809,JET BLACK,3.5700,1.7700,-1.8000
202205812,BANNER BN,3.1000,2.7500,-0.3500
202205814,ALBUM BL,3.5000,3.0000,-0.5000
202205816,MAMMOTH GY,1.5000,1.6500,0.1500
202205817,VESSEL GY BR,1.5000,1.6100,0.1100
202206838,CELERON GY,2.0000,2.2500,0.2500
202206839,KALE GN,3.5000,3.6000,0.1000
202206840,KARNA YW,2.0000,2.3000,0.3000
202206843,FRAGMENT GY,2.0000,2.0500,0.0500
202206849,DINO BN,1.5000,1.4700,-0.0300
202206851,GOLDEN YELLOW,2.5000,1.0900,-1.4100
202206852,JET BLACK,3.5700,3.2800,-0.2900
202206860,CHOBU GY,1.2000,0.9600,-0.2400
202206870,ESTO BL 01,2.0000,1.9200,-0.0800
202206871,LINCOLN BL,1.5000,1.3500,-0.1500
202206874,PINANG BG 01,1.5000,1.5500,0.0500
202206875,CAJON GY,1.5000,1.2800,-0.2200
202208894,JANGKA BN,2.0000,2.1000,0.1000
202208895,GREY BR,1.7800,1.1700,-0.6100
202208896,GREY BR,1.7800,1.4900,-0.2900
202208897,PARIS BG,1.8500,1.8700,0.0200
202208905,LANCER BL,2.0000,2.0600,0.0600
202208921,LILAC,2.0000,2.2000,0.2000
202208923,SPARTA RD,1.8000,1.7400,-0.0600
202208924,PUMPKIN OG,1.6600,1.8200,0.1600
202208926,TIPSY GY,1.2000,1.1500,-0.0500
202208927,OPTIMA BL,1.8200,1.8500,0.0300
202208928,SPELL BL,3.1500,3.3300,0.1800
202208930,TAMBA PK BR,2.0000,2.4000,0.4000
202209932,CASHMERE PL,6.0000,6.1000,0.1000
202209941,FELLAS BL 03,2.0000,1.8000,-0.2000
202209947,DELLA GN,4.0000,4.0500,0.0500
202209948,ENDIVE YW,3.0000,2.7000,-0.3000
202209954,MOSTARDA,2.3800,2.5000,0.1200
202209962,NUDE ROASTED BG,1.0000,1.2000,0.2000
202210001,MAIDEN BL,4.0000,4.1000,0.1000
202210002,PANCY BLUE,2.1000,2.9000,0.8000
202210963,ABSOLUTE BLUE,1.8000,1.6100,-0.1900
202210964,SHADOW GREY,1.6500,1.7300,0.0800
202210967,SWEAT BROWN BR,1.8700,1.7100,-0.1600
202210968,METAL BROWN,1.8000,1.7300,-0.0700
202210970,KREMLIN RED,1.8000,1.8500,0.0500
202210971,CEMENT GREY,1.4800,1.3900,-0.0900
202210972,TANUKI BL,1.5000,1.6400,0.1400
202210973,CHAPTER BL,2.0000,1.9200,-0.0800
202210978,SPEARMINT,1.5000,1.6000,0.1000
202210979,SPEARMINT,1.5000,1.8000,0.3000
202210981,LOFI BG BR,1.2000,1.4000,0.2000
202210985,BLANCO OPTICO WHITE PLUS,1.1600,1.1300,-0.0300
202210989,INK GREY.AT,3.8700,3.9500,0.0800
202210996,RESHA CM BR,2.0000,1.6300,-0.3700
202210997,CITIZEN BL,1.5000,1.4400,-0.0600
202211003,MONO BN BR,1.5000,1.5800,0.0800
202211006,GLADSOME,1.6700,1.1000,-0.5700
202211008,FULL CREAM BR,1.3600,1.5200,0.1600
202211009,BLANCO OPTICO TH 286/2,1.1600,1.0000,-0.1600
202211032,BEAR BN BR,1.9800,2.1000,0.1200
202211044,CLIENT CM BR,1.5000,1.5400,0.0400
202211045,SINAR GN BR,3.6700,3.6800,0.0100
202211047,BAGEL CM,2.0000,2.1500,0.1500
202212050,HONNEY BROWN BR,0.8300,1.2500,0.4200
202212054,BEIGE BR,1.4800,1.8600,0.3800
202212055,STUPA GREY BR,1.0900,1.1600,0.0700
202212056,GOLD BR,0.6000,0.6200,0.0200
202212058,PEGION GREY BR,1.7800,2.0600,0.2800
202212061,KRAKATOA GY,1.5000,1.6200,0.1200
202212063,FONT GREY,1.4700,1.6700,0.2000
202212064,EXPRESS MAROON,2.4000,2.7800,0.3800
202212065,FORGET GY,1.4800,1.5000,0.0200
202212067,CAMEL BEIGE,1.3900,1.6000,0.2100
202212071,SNOWMAN WT BR,1.5000,1.6500,0.1500
202212076,HYPE YW,2.0000,2.1300,0.1300
202212077,DEENEY BL,1.8000,1.9000,0.1000
202212085,QUALITY BL,1.5000,1.5300,0.0300
202212086,GAS GN,2.0000,1.7500,-0.2500
202212088,SWAN WHITE BR,1.3000,1.5000,0.2000
202212090,MIX OBR,1.1600,1.0500,-0.1100
202212091,RICH GOLD BR,2.2000,1.8500,-0.3500
202212092,WINE BR,1.5000,1.9000,0.4000
202212094,PAPRIKA MN BR,3.1500,4.0000,0.8500
202212095,LAVENDER VIOLET BR,3.3000,3.5000,0.2000
202212096,BORDO MAROON BR,2.1600,2.1700,0.0100
202212097,HILOS WT,1.0000,1.0300,0.0300
202212099,GREY BR,1.7800,1.5100,-0.2700
202212100,ARCA GREY BR,2.3000,2.1700,-0.1300
202212101,TROY BL,1.0000,1.0500,0.0500
202212102,ROOM CM BR,1.5000,1.6000,0.1000
202212103,ENKA BG BR,1.4800,2.1500,0.6700
202212104,OKITA BL,3.7500,3.5000,-0.2500
202301106,MISSION GY BR,1.5000,2.0400,0.5400
202301109,LAVENDER VIOLET,3.3000,2.4500,-0.8500
202301111,PANTHER BK AT,3.2000,6.1000,2.9000
202301113,YELLOW,1.5000,1.6500,0.1500
202301114,MONACO BL,1.8000,1.6000,-0.2000
202301116,YETI WT BR,1.0000,1.0600,0.0600
202301117,MEDAL GY,2.0000,2.3200,0.3200
202301119,BELT BG,2.0000,2.1500,0.1500
202301120,SONO CM,2.0000,1.9800,-0.0200
202301124,REBEL GY,2.0000,2.2300,0.2300
202301125,PANTHER BK AT,5.1000,5.3000,0.2000
202301126,VIVID BLUE BR,1.4000,1.4800,0.0800
202302127,PEPPER BN BR,2.2000,2.8900,0.6900
202302143,DOPE GREY,4.0000,3.8300,-0.1700
202302149,COBALT BLUE BR,3.6500,4.1700,0.5200
202302151,VERY BL BR,4.2000,5.2400,1.0400
202302152,PINK,1.5000,1.7000,0.2000
202302157,SIMILAR BL,1.5000,1.6200,0.1200
202302158,LEGAL GY,1.5000,1.5500,0.0500
