group_head_period_id,period,group_head_id,flag_valuation,flag_marketing,flag_simulation,init_val_valuation,init_val_marketing,init_val_simulation,updated_at,updated_by
48433a56-bb13-4457-8a9b-3d19b8f0472a,202608,60c23c99-a622-451f-940a-3c8f8bde89f5,CONS,CONS,CONS,,,,,
efee5fde-ea1c-4b2d-a8e8-a681649f6b97,202608,613e74fd-4543-4079-9498-77a770780044,CONS,CONS,CONS,,,,,
e375b78f-749e-49db-a15f-85a8955a8e49,202608,6169ffc7-fdf2-467b-b268-bec7cd275298,CONS,CONS,CONS,,,,,
9d07484d-3d68-4fec-97fe-3b23663cce4a,202608,625ce6fa-448c-486e-b3a9-ff0d439164ca,CONS,CONS,CONS,,,,,
9262eb43-3c90-4804-9288-a8288d600924,202608,629c0c14-a9ed-4067-8ff1-c70f6a677642,CONS,CONS,CONS,,,,,
7ead4eaf-7eab-4986-94cd-9aac08ffef31,202608,636dcb90-2923-49c5-b8d2-a214b6bdd5fb,CONS,CONS,CONS,,,,,
d656e0d3-9538-443e-a9c2-51c90f0f7679,202608,6502c971-4ca9-4cdd-86d0-c8e3dd070d6a,CONS,CONS,CONS,,,,,
dfb5e88c-9c71-4212-8b7e-9ac8066d1760,202608,662397b3-f94b-4383-8ba4-935dc7a95b96,CONS,CONS,CONS,,,,,
904b086f-d23b-4942-8ff7-4854adf11b01,202608,66bb4292-9aba-4116-ae35-19dbd3500c86,CONS,CONS,CONS,,,,,
f656ba83-3095-4aeb-8e68-535b8706bcf7,202608,66c6672d-1c05-4751-bad1-36fc410009ff,CONS,CONS,CONS,,,,,
42c687da-99da-4e38-bfaf-7fab30ab192c,202608,6888b6f2-52c6-4fc4-b2b5-1a1d29c8af7a,CONS,CONS,CONS,,,,,
e9339846-51c1-4f05-abb8-0af44122e476,202608,68e3d31f-750b-4573-b76c-03bf2523f45b,CONS,CONS,CONS,,,,,
6b4e3ae9-df5d-4e23-9d8d-0890396515e0,202608,6a702a27-cf5d-42bc-b75d-f4a151d939bc,CONS,CONS,CONS,,,,,
e6819515-1b7a-4194-bf87-4226aacccba2,202608,6b57605f-2177-4090-8fbf-1ae471492cd8,CONS,CONS,CONS,,,,,
1c8527c1-77ec-49c7-b758-e6e50e02ee80,202608,6d3cbb26-2e6d-4183-a313-d19c5be56315,CONS,CONS,CONS,,,,,
896159ab-d733-4b77-9875-b9761eee2d3d,202608,6d87aa5a-2ac3-47c1-b350-93ebab6229aa,CONS,CONS,CONS,,,,,
9d31e470-0991-4efe-9daa-75090e45c9ec,202608,6f48764e-7e0b-4966-b88b-03875558cb6d,CONS,CONS,CONS,,,,,
99042948-490e-46bd-a263-391eab79dfef,202608,6f665699-3914-4402-a4f5-c825fee57202,CONS,CONS,CONS,,,,,
843f185b-dc6c-4474-9fa7-ef14f9b3da4c,202608,701c7fc1-e5e9-4635-b30e-b3d4d3f6915a,CONS,CONS,CONS,,,,,
001ff2be-b8a5-4bd3-ba2b-e0f282405db4,202608,70f3e744-ff27-4f86-9f3d-f0f08594f8aa,CONS,CONS,CONS,,,,,
0d6a4171-367c-47f1-8935-125fcfc0baaa,202608,71ee377f-633e-44b3-bcf6-78107bac89bb,CONS,CONS,CONS,,,,,
a9549bbf-f982-44dd-910f-89739d1e961c,202608,72dcf681-db84-4bfb-a69c-8da8efef7cf0,CONS,CONS,CONS,,,,,
56488d52-cb6b-48d0-abf8-6772f6378fd6,202608,72fdb4fe-3a1e-4581-86c2-47f3b3dc4c0d,CONS,CONS,CONS,,,,,
bd53b6e8-25a0-445f-aa7e-04894d3597ac,202608,739a449f-da36-4f82-a72c-f6d55c3aeff6,CONS,CONS,CONS,,,,,
b6958c4c-3cac-43fd-8387-b03018ef311e,202608,73ee8a4f-50ee-49bb-9c75-c04d880bb071,CONS,CONS,CONS,,,,,
2db2ccec-db00-4120-b668-8aaa7bfcf18a,202608,73f3f322-0133-4107-80bd-b88405ddd98d,CONS,CONS,CONS,,,,,
d9b43cfd-a431-40a1-9126-4441bb29988a,202608,76847759-5ab8-4f98-af6a-e9fc0b05f7b8,CONS,CONS,CONS,,,,,
ffcbed58-89d5-4836-82d5-afa9a595ab9f,202608,770a7ac9-dbea-4d87-a144-63f11e9ff05a,CONS,CONS,CONS,,,,,
2a11236c-a6e3-4c29-9b4a-de5f0bb05ead,202608,776506a0-3a7c-4296-a211-6aa65a113a52,CONS,CONS,CONS,,,,,
2cb6a0dc-e89e-4f8c-b94a-5fb4faf8a73f,202608,7860fd5c-d425-4dd1-999b-eded2770ef88,CONS,CONS,CONS,,,,,
9dcb8374-263b-456c-8ae0-dd97c36a8193,202608,7863e3cd-c21a-43a7-8a9d-3537ba186e37,CONS,CONS,CONS,,,,,
a29ffcfe-2348-4f23-a9d7-28b6d49bd169,202608,78a714f0-8b6a-430a-b0e9-a0067ffce061,CONS,CONS,CONS,,,,,
